abato	aba-to
cigano	ci-ga-no
cigaredo	ci-ga-re-do
cigarejo	ci-ga-r-ejo
cigaringo	ci-gar-ingo
cigaro	ci-ga-ro
cigarujo	ci-ga-r-ujo
cigno	cig-no
cikado	ci-ka-do
cikatro	ci-ka-tro
ciklo	ci-klo
cikonio	ci-ko-nio
cilindrobloko	ci-lin-dro-blo-ko
cilindroforma	ci-lin-dro-for-ma
cinamo	ci-na-mo
cindro	cin-dro
cirkelo	cir-ke-lo
cirilaj	ci-ri-l-aj
cirklo	cir-klo
cirkludoj??	cir-klu-do-j?
cirkonstanco	cir-kon-stan-co
cirkonstancoj	cir-kon-stan-c-oj
cirkulero	cir-ku-le-ro
cirkuli	cir-ku-li
cirkumcido	cir-kum-ci-do
cirkvito	cir-k-vi-to
ciro	ciro
cisto	ci-s-to
citas	ci-t-as
citatoj	ci-t-at-oj
citi	ci-ti
citis	ci-t-is
citita	ci-t-ita
cito	ci-to
citos	ci-t-os
citrono	ci-tro-no
civila	ci-vi-la
civilizacio	ci-vi-li-za-cio
civilizacion	ci-vi-li-za-ci-on
civilizi	ci-vi-li-zi
civilizita	ci-vi-li-z-ita
civito	ci-vi-to
colo	co-lo
ĉagreni	ĉa-gre-ni
ĉambelano	ĉam-be-la-no
ĉambraĉo	ĉam-br-aĉo
ĉambristino	ĉam-br-ist-ino
ĉambro	ĉam-bro
ĉambron	ĉam-br-on
ĉampano	ĉam-pa-no
ĉapelo	ĉa-pe-lo
ĉapitro	ĉa-pi-tro
ĉapo	ĉa-po
ĉar	ĉar
ĉarlatano	ĉar-la-ta-no
ĉarma	ĉar-ma
ĉarmon	ĉar-m-on
ĉaro	ĉaro
ĉarpentisto	ĉar-pen-t-isto
ĉarumo	ĉa-r-umo
ĉasaĵo	ĉas-aĵo
ĉasakiro	ĉas-akiro
ĉashundo	ĉas-hun-do
ĉasi	ĉasi
ĉasion	ĉasi-on
ĉasleopardo	ĉas-le-o-par-do
ĉastafekta	ĉas-t-a-fek-ta
ĉeesti	ĉe-es-ti
ĉeestis	ĉe-es-t-is
ĉefa	ĉefa
ĉefaj	ĉef-aj
ĉefĉasisto	ĉef-ĉa-s-isto
ĉefe	ĉefe
ĉefepiskopo	ĉef-e-pi-s-ko-po
ĉefĝardenisto	ĉef-ĝar-de-n-isto
ĉeĥdevena	ĉeĥ-de-vena
ĉefo	ĉefo
ĉefoficejo	ĉef-ofi-c-ejo
ĉefurbon	ĉef-ur-b-on
ĉefverkoj	ĉef-ver-k-oj
ĉeko	ĉe-ko
ĉelo	ĉe-lo
ĉemizmaniko	ĉe-miz-ma-ni-ko
ĉemizo	ĉe-mi-zo
ĉeno	ĉe-no
ĉerizo	ĉe-ri-zo
ĉerko	ĉer-ko
ĉerpi	ĉer-pi
ĉerpis	ĉer-p-is
ĉerpu	ĉer-pu
ĉesi	ĉe-si
ĉesos	ĉe-s-os
ĉesus	ĉe-s-us
ĉevalaĉa	ĉe-va-l-aĉa
ĉevalaĉaj	ĉe-va-l-aĉ-aj
ĉevalaĉajn	ĉe-va-l-aĉ-ajn
ĉevalaĉan	ĉe-va-l-aĉ-an
ĉevalaĉo	ĉe-va-l-aĉo
ĉevalaĉoj	ĉe-va-l-aĉ-oj
ĉevalaĉojn	ĉe-va-l-aĉ-ojn
ĉevalaĉon	ĉe-va-l-aĉ-on
ĉevalido	ĉe-va-li-do
ĉevalo	ĉe-va-lo
ĉevaloj	ĉe-va-l-oj
ĉiam	ĉiam
ĉiamaj	ĉiam-aj
ĉiaokaze	ĉia-oka-ze
ĉiaspecaj	ĉia-spe-c-aj
ĉieaj	ĉie-aj
ĉiel	ĉiel
ĉielarko	ĉiel-ar-ko
ĉieliro	ĉiel-iro
ĉielo	ĉielo
ĉies	ĉies
ĉieseco	ĉies-eco
ĉiesulino	ĉies-ul-ino
ĉifi	ĉi-fi
ĉifoje	ĉi-foje
ĉifono	ĉi-fo-no
ĉikano	ĉi-ka-no
ĉilasta	ĉi-la-s-ta
ĉilo	ĉilo
ĉimatene	ĉi-ma-tene
ĉina	ĉi-na
ĉinĉilo	ĉin-ĉi-lo
ĉio	ĉio
ĉiom	ĉiom
ĉiomaj	ĉiom-aj
ĉiomanĝanta	ĉio-man-ĝ-an-ta
ĉiomo	ĉiomo
ĉion	ĉion
ĉiopova	ĉio-po-va
ĉioscia	ĉio-scia
ĉioscianta	ĉio-sci-an-ta
ĉirkaŭ	ĉir-kaŭ
ĉirkaŭaĵo	ĉir-kaŭ-aĵo
ĉirkaŭas	ĉir-kaŭ-as
ĉirkaŭfrazo	ĉir-kaŭ-fra-zo
ĉirkaŭmano	ĉir-kaŭ-ma-no
ĉirkaŭpreni	ĉir-kaŭ-pre-ni
ĉirkaŭskribi	ĉir-kaŭ-skri-bi
ĉirkaŭŝpinis	ĉir-kaŭ-ŝpi-n-is
ĉiu	ĉiu
ĉiuflanke	ĉiu-flan-ke
ĉiufoje	ĉiu-foje
ĉiuhoma	ĉiu-ho-ma
ĉiuhoman	ĉiu-ho-m-an
ĉiuj	ĉiuj
ĉiuĵaŭde	ĉiu-ĵaŭ-de
ĉiun	ĉiun
ĉiumomente	ĉiu-mo-men-te
ĉiuokaze	ĉiu-oka-ze
ĉiutaga	ĉiu-ta-ga
ĉiutagaj	ĉiu-ta-g-aj
ĉiutage	ĉiu-ta-ge
ĉokolado	ĉo-ko-la-do
ĉokoladoj	ĉo-ko-la-d-oj
ĉokoladon	ĉo-ko-la-d-on
Dafno	daf-no
daktilarbo	dak-til-arbo
daktilo	dak-ti-lo
damoj	da-m-oj
dancado	dan-c-ado
dancaj	dan-c-aj
dancas	dan-c-as
dancbiletoj	danc-bi-le-t-oj
dancpaŝoj	danc-pa-ŝ-oj
dancpavilono	danc-pa-vi-lo-no
dancŝuoj	danc-ŝu-oj
dancmuziko	danc-mu-zi-ko
danco	dan-co
dando	dan-do
danĝeraj	dan-ĝe-r-aj
danĝere	dan-ĝe-re
danĝero	dan-ĝe-ro
danĝeroj	dan-ĝe-r-oj
danĝerzonon	dan-ĝer-zo-n-on
dank'?	dan-k'
dankas	dan-k-as
dankegas	dan-k-eg-as
dankemon	dan-k-em-on
danki	dan-ki
dankinde	dan-k-inde
dankis	dan-k-is
danko	dan-ko
dankon	dan-k-on
danku	dan-ku
dano	da-no
dato	dato
daŭra	daŭ-ra
daŭras	daŭ-r-as
daŭre	daŭ-re
daŭri	daŭ-ri
daŭrigi	daŭ-r-igi
daŭrigis	daŭ-r-ig-is
daŭrigo	daŭ-r-igo
daŭrigos	daŭ-r-ig-os
daŭris	daŭ-r-is
daŭro	daŭ-ro
daŭron	daŭ-r-on
daŭros	daŭ-r-os
daŭrus	daŭ-r-us
davido	da-vi-do
debato	de-ba-to
debatos	de-ba-t-os
debeto	de-be-to
debilo	de-bi-lo
debito	de-bi-to
decembro	de-cem-bro
deci	de-ci
decidas	de-ci-d-as
decidi	de-ci-di
decidiĝas	de-ci-d-iĝ-as
decidis	de-ci-d-is
decidita	de-ci-d-ita
deciditan	de-ci-d-it-an
decidite	de-ci-d-ite
decido	de-ci-do
decidoj	de-ci-d-oj
decidon	de-ci-d-on
decidos	de-ci-d-os
decidu	de-ci-du
decilitro	de-ci-li-tro
decimetro	de-ci-me-tro
deco	de-co
dediĉas	de-di-ĉ-as
dediĉata	de-di-ĉ-ata
dediĉatan	de-di-ĉ-at-an
dediĉi	de-di-ĉi
dediĉinte	de-di-ĉ-in-te
dediĉis	de-di-ĉ-is
dediĉpaĝo	de-diĉ-pa-ĝo
deduktoj	de-duk-t-oj
defalis	de-fa-l-is
defendantoj	de-fen-d-an-t-oj
defendi	de-fen-di
deficito	de-fi-ci-to
defilo	de-fi-lo
definitiva	de-fi-ni-ti-va
definitivan	de-fi-ni-ti-v-an
deflugi	de-flu-gi
defluilo	de-flu-ilo
degeli	de-ge-li
deiĝi	de-iĝi
deĵori	de-ĵo-ri
dekametro	de-ka-me-tro
dekano	de-ka-no
dekduo	dek-duo
dekduopon	dek-du-op-on
dekjara	dek-jara
dekjaroj	dek-jar-oj
dekkvina	dek-kvina
deklari	de-kla-ri
deklarita	de-kla-r-ita
deklaro	de-kla-ro
deklinacioj	de-kli-na-ci-oj
deklivo	de-kli-vo
dekoj	de-k-oj
dekoka	dek-oka
dekon	de-k-on
dekona	dek-ona
dekonajn	dek-on-ajn
dekonaĵo	dek-on-aĵo
dekonduki	de-kon-du-ki
dekone	dek-one
dekono	dek-ono
dekonojn	dek-on-ojn
dekonon	dek-on-on
dekonsili	de-kon-si-li
dekontrahiĝo	de-kon-tra-h-iĝo
dekopaj	dek-op-aj
dekopajn	dek-op-ajn
dekope	dek-ope
dekopo	dek-opo
dekopojn	dek-op-ojn
dekoracio	de-ko-ra-cio
deksepa	dek-se-pa
dekstra	deks-tra
dekstren	deks-tren
dekunuan	dek-unu-an
delegatoj	de-le-g-at-oj
delegi	de-le-gi
delikata	de-li-ka-ta
deliri	de-liri
delogi	de-lo-gi
delonge	de-longe
demandado	de-man-d-ado
demandante	de-man-d-an-te
demandas	de-man-d-as
demandis	de-man-d-is
demando	de-man-do
demandoj	de-man-d-oj
demandon	de-man-d-on
demeto	de-me-to
demono	de-mo-no
demonstras	de-mons-tr-as
denove	de-no-ve
densa	den-sa
densega	den-sega
dentlipsonoj	dent-lip-so-n-oj
dentdoloro	dent-do-lo-ro
dento	den-to
denunci	de-nun-ci
depago	de-pa-go
departemento	de-par-te-men-to
dependa	de-pen-da
dependas	de-pen-d-as
depende	de-pen-de
dependi	de-pen-di
dependo	de-pen-do
dependus	de-pen-d-us
deponi	de-po-ni
depoto	de-po-to
depozicio	de-po-zi-cio
deprunti	de-prun-ti
deputi	de-pu-ti
derivaĵo	de-ri-v-aĵo
derivaĵoj	de-ri-v-aĵ-oj
deriviĝas	de-ri-v-iĝ-as
derivita	de-ri-v-ita
descendo	de-s-cen-do
desegnaĵoj	de-seg-n-aĵ-oj
desegni	de-seg-ni
desegno	de-seg-no
deserto	de-ser-to
despoto	de-s-po-to
destini	des-ti-ni
destino	des-ti-no
destinon	des-ti-n-on
desube	de-su-be
desupra	de-su-pra
detalaj	de-ta-l-aj
detale	de-ta-le
detalo	de-ta-lo
detalon	de-ta-l-on
detenadus	de-te-n-ad-us
deteni	de-te-ni
determini	de-ter-mi-ni
detrui	de-trui
detruos	de-tru-os
devas	dev-as
devenan	de-ven-an
deveni	de-veni
deveno	de-veno
devi	devi
devigi	dev-igi
devigite	dev-ig-ite
devigus	dev-ig-us
devintus	dev-int-us
devis	dev-is
devkonscia	dev-kon-scia
devo	devo
devojiĝis	de-voj-iĝ-is
devontigi	devon-t-igi
devos	dev-os
devoscia	devo-scia
devoto	devo-to
devus	dev-us
dezerto	de-zer-to
dezirantaj	de-zir-an-t-aj
dezirante	de-zir-an-te
deziras	de-zir-as
deziri	de-ziri
dezirinda	de-zir-inda
dezirindeco	de-zir-ind-eco
deziris	de-zir-is
deziro	de-ziro
deziron	de-zir-on
deziros	de-zir-os
dezirus	de-zir-us
diabeto	di-abe-to
diable	di-ab-le
diablo	di-ab-lo
diademo	di-ade-mo
dialogo	di-alo-go
diamanto	di-am-an-to
dianto	di-an-to
dieto	di-eto
difekti	di-fek-ti
difekto	di-fek-to
diferencas	di-fe-ren-c-as
diferenci	di-fe-ren-ci
diferencigado	di-fe-ren-c-ig-ado
diferencigi	di-fe-ren-c-igi
diferenco	di-fe-ren-co
difini	di-fi-ni
difinis	di-fi-n-is
difinita	di-fi-n-ita
difinitaj	di-fi-n-it-aj
difinitan	di-fi-n-it-an
digesti	di-ges-ti
digito	di-gi-to
digne	digne
dignecon	dig-n-ec-on
digo	di-go
dika	di-ka
dikaj	di-k-aj
dikiĝi	di-k-iĝi
diktaton	dik-t-at-on
dikti	dik-ti
dilemo	di-le-mo
diletanto	di-le-tan-to
diligenta	di-li-gen-ta
dimanĉo	di-man-ĉo
dimensio	di-men-sio
dinamito	di-na-mi-to
dinaro	di-na-ro
dingo	din-go
dioksida	di-ok-si-da
dion	di-on
diplomatiisto	di-plo-ma-ti-isto
diplomatiistoj	di-plo-ma-ti-ist-oj
diplomato	di-plo-ma-to
diradis	dir-ad-is
diranta	dir-an-ta
dirante	dir-an-te
diras	dir-as
direktado	di-rek-t-ado
direktilo	di-rek-t-ilo
direkto	di-rek-to
direktoj	di-rek-t-oj
direktoro	di-rek-to-ro
diri	diri
diris	dir-is
dirita	dir-ita
diritaj	dir-it-aj
diro	diro
diros	dir-os
diru	diru
dirus	dir-us
disa	disa
disajn	dis-ajn
disciplina	dis-ci-pli-na
disciplinema	dis-ci-pli-n-ema
disciplini	dis-ci-pli-ni
dise	dise
disen	dis-en
diserti	di-ser-ti
diservo	di-ser-vo
disigi	dis-igi
disigitaj	dis-ig-it-aj
disiĝi	dis-iĝi
disipi	di-si-pi
disiri	dis-iri
disĵeti	dis-ĵe-ti
disligitaj	dis-lig-it-aj
diskanto	dis-kan-to
disko	dis-ko
diskonto	dis-kon-to
diskreditigis	dis-kre-di-t-ig-is
diskreta	dis-k-reta
diskretaj	dis-k-ret-aj
diskrete	dis-k-rete
diskuras	dis-ku-r-as
diskuri	dis-ku-ri
diskutado	dis-ku-t-ado
diskuti	dis-ku-ti
diskuto	dis-ku-to
diskutoj	dis-ku-t-oj
disocia	di-so-cia
disponeblaj	dis-po-n-eb-l-aj
disponebleco	dis-po-n-eb-l-eco
disponi	dis-po-ni
disponigita	dis-po-n-ig-ita
dispremos	dis-pre-m-os
disputi	dis-pu-ti
disreviĝi	dis-re-v-iĝi
dissemi	dis-semi
dissemitaj	dis-se-m-it-aj
disŝiri	dis-ŝiri
disŝpruci	dis-ŝpru-ci
distanco	dis-tan-co
distilo	dis-ti-lo
distingi	dis-tin-gi
distingiĝa	dis-ting-iĝa
distingiĝas	dis-ting-iĝ-as
distingo	dis-tin-go
distingon	dis-tin-g-on
distri	dis-tri
distribui	dis-tri-bui
disvastigo	dis-va-s-t-igo
disvolviĝadi	dis-vol-v-iĝ-adi
disvolviĝadis	dis-vol-v-iĝ-ad-is
disvolviĝan	dis-vol-v-iĝ-an
disvolviĝos	dis-vol-v-iĝ-os
diveni	di-ve-ni
diversa	di-versa
diversaj	di-vers-aj
diversan	di-vers-an
diversas	di-vers-as
diversaspeca	di-ver-sa-spe-ca
diversaspekta	di-vers-as-pek-ta
diversaspektan	di-vers-as-pek-t-an
diverscela	di-vers-ce-la
diversepoka	di-vers-e-po-ka
diversflanka	di-vers-flan-ka
diversforma	di-vers-for-ma
diversforman	di-vers-for-m-an
diversfunkcia	di-vers-funk-cia
diversgenta	di-vers-gen-ta
diversgrada	di-vers-gra-da
diversgranda	di-vers-granda
diversĝenraj	di-vers-ĝen-r-aj
diverskaraktera	di-vers-ka-rak-te-ra
diverskolora	di-vers-ko-lo-ra
diverskoloraj	di-vers-ko-lo-r-aj
diverskonsista	di-vers-kon-si-s-ta
diverslanda	di-vers-lan-da
diverslarĝa	di-vers-lar-ĝa
diverslingva	di-vers-lin-g-va
diversloka	di-vers-lo-ka
diverslonga	di-vers-longa
diversmaniera	di-vers-ma-ni-e-ra
diversmaniere	di-vers-ma-ni-e-re
diversnacia	di-vers-na-cia
diversnivela	di-vers-ni-ve-la
diverspeca	di-vers-pe-ca
diversprotokolaj	di-vers-pro-to-ko-l-aj
diversrasa	di-vers-ra-sa
diversrilataj	di-vers-ri-la-t-aj
diverssenca	di-vers-sen-ca
diverssignara	di-vers-sig-n-ara
diversspeca	di-vers-spe-ca
diverstema	di-vers-te-ma
diverstipa	di-vers-ti-pa
diversvoja	di-vers-vo-ja
divida	di-vi-da
dividebla	di-vi-d-eb-la
dividi	di-vi-di
dividita	di-vi-d-ita
dividitaj	di-vi-d-it-aj
divido	di-vi-do
dividostreko	di-vi-do-stre-ko
dividpunkto	di-vid-punk-to
dividstreko	di-vid-stre-ko
dogano	do-ga-no
doktoredzino	dok-to-r-edzi-no
doktoro	dok-to-ro
doktoron	dok-to-r-on
dokumento	do-ku-men-to
dokumentoj	do-ku-men-t-oj
dokumenton	do-ku-men-t-on
dolaro	do-la-ro
dolĉa	dol-ĉa
dolĉaĵoj	dol-ĉ-aĵ-oj
dolĉaĵvendejon	dol-ĉaĵ-ven-d-ej-on
dolĉvoĉe	dolĉ-vo-ĉe
dolora	do-lo-ra
doloras	do-lo-r-as
dolore	do-lo-re
doloris	do-lo-r-is
doloro	do-lo-ro
domaĉo	do-m-aĉo
domadministranto?	do-m-ad-mi-ni-s-tr-an-to
domaĝi	do-ma-ĝi
domicilo	do-mi-ci-lo
domingo	do-min-go
domo	do-mo
domoj	do-m-oj
domon	do-m-on
donaco	do-na-co
donadi	do-n-adi
donanto	do-n-an-to
donas	do-n-as
doni	do-ni
doninte	do-n-in-te
donis	do-n-is
donita	do-n-ita
donos	do-n-os
donu	do-nu
donus	do-n-us
dorloti	dor-lo-ti
dorloto	dor-lo-to
dormanta	dorm-an-ta
dormante	dorm-an-te
dormas	dorm-as
dormĉambroj	dorm-ĉam-br-oj
dorme	dorme
dormeti	dorm-eti
dormi	dormi
dormigan	dorm-ig-an
dormigi	dorm-igi
dormis	dorm-is
dormo	dormo
dormoĉambro	dormo-ĉam-bro
dorno	dor-no
dorsflanke	dors-flan-ke
dorso	dor-so
doto	do-to
dozo	do-zo
draĥmojn	draĥ-m-ojn
draman	dra-m-an
dramo	dra-mo
drapo	dra-po
draŝcilindro	draŝ-ci-lin-dro
draŝmaŝino	dra-ŝ-ma-ŝi-no
drato	dra-to
dresi	dre-si
drilo	dri-lo
drinkejo	drin-k-ejo
drogkontrolo	drog-kon-tro-lo
drogo	dro-go
drogon	dro-g-on
droni	dro-ni
drono	dro-no
droŝko	droŝ-ko
duan	du-an
duba	du-ba
dubaj	du-b-aj
dubas	du-b-as
dube	du-be
dubi	du-bi
dubis	du-b-is
dubo	du-bo
duboj	du-b-oj
dubon	du-b-on
dubus	du-b-us
dudek	du-dek
dudeka	du-de-ka
dudirekta	du-di-rek-ta
dufoje	du-foje
duformaj	du-for-m-aj
dukategoria	du-ka-te-go-ria
dukategoriaj	du-ka-te-go-ri-aj
dukato	du-ka-to
duma	duma
dumaon	du-ma-on
dumasta	du-ma-s-ta
dume	dume
dumejla	du-mej-la
dumetra	du-me-tra
dumire	dum-ire
dumonata	du-mo-na-ta
dumpingo	dum-pin-go
dumtempe	dum-tem-pe
dumviva	dum-vi-va
dunaskito	du-na-s-k-ito
dungi	dun-gi
dungosoldato	dun-go-sol-da-to
duobla	du-ob-la
duoblaĵoj	du-ob-l-aĵ-oj
duoblan	du-ob-l-an
duoblo	du-ob-lo
duonebria??	duon-e-bri-a?
duondioj	duon-di-oj
duone	duone
duonfrato	duon-fra-to
duonhoro	duon-ho-ro
duoninformita	duon-in-for-m-ita
duono	duono
duonpatrino	duon-pa-tri-no
duonpatro	duon-pa-tro
duonrido	duon-rido
duonsfero	duon-sfe-ro
duopajn	du-op-ajn
duopan	du-op-an
duope	du-ope
duopo	du-opo
duopoj	du-op-oj
duopojn	du-op-ojn
duopon	du-op-on
dupunkto	du-punk-to
duslupa	du-slu-pa
duspeca	du-spe-ca
duŝo	du-ŝo
ebena	ebe-na
ebeno	ebe-no
ebla	eb-la
eblaj	eb-l-aj
eblaĵo	eb-l-aĵo
eblas	eb-l-as
eble	eb-le
ebleco	eb-l-eco
eblecon	eb-l-ec-on
ebligantaj	eb-l-ig-an-t-aj
ebligas	eb-l-ig-as
ebligi	eb-l-igi
ebligis	eb-l-ig-is
eblo	eb-lo
eblon	eb-l-on
eblus	ebl-us
ebria	ebria
ecoj	ec-oj
econ	ec-on
edemo	ede-mo
edilo	edi-lo
edukados	edu-k-ad-os
eduki	edu-ki
edukita	edu-k-ita
edzeco	edz-eco
edziĝa	edz-iĝa
edziĝfeston	edziĝ-fes-t-on
edziĝi	edz-iĝi
edziĝo	edz-iĝo
edziĝpeton	edziĝ-pet-on
edzinigi	edzi-n-igi
edziniĝi	edzi-n-iĝi
edzino	edzi-no
edzo	edzo
efektiva	efek-ti-va
efektivaj	efek-ti-v-aj
efektive	efek-ti-ve
efektiveco	efek-ti-v-eco
efektivigebla	efek-ti-v-ig-eb-la
efektivigita	efek-ti-v-ig-ita
efektivigo	efek-ti-v-igo
efektiviĝi	efek-ti-v-iĝi
efektiviĝis	efek-ti-v-iĝ-is
efektiviĝon	efek-ti-v-iĝ-on
efektiviĝos	efek-ti-v-iĝ-os
efektiviĝus	efek-ti-v-iĝ-us
efekto	efek-to
efekton	efek-t-on
efiki	efi-ki
efrito	ef-ri-to
egala	ega-la
egalaj	ega-l-aj
egalan	ega-l-an
egale	ega-le
egalpezon	egal-pe-z-on
egido	egi-do
egoismo	ego-ismo
egoisto	ego-isto
eĥoŝanĝo	eĥo-ŝan-ĝo
ejakulo	eja-ku-lo
ejnŝtejna	ejn-ŝtej-na
ekamis	ek-am-is
ekaperas	ek-ape-r-as
ekaperis	ek-ape-r-is
ekbatis	ek-ba-t-is
ekbrilis	ek-bri-l-is
ekbrilo	ek-bri-lo
ekde	ek-de
ekdeziri	ek-de-ziri
ekdeziros	ek-de-zir-os
ekdormis	ek-dorm-is
ekflorado	ek-flo-r-ado
ekfrapi	ek-fra-pi
ekfrapos	ek-fra-p-os
ekfrotaj	ek-fro-t-aj
ekfumis	ek-fum-is
ekĝemis	ek-ĝe-m-is
ekhaltis	ek-hal-t-is
ekhavis	ek-ha-v-is
ekipi	eki-pi
ekiras	ek-ir-as
ekirigas	ek-ir-ig-as
ekkanti	ek-kan-ti
ekknari	ek-kna-ri
ekkolerema	ek-ko-le-r-ema
ekkrii	ek-krii
eklamas	ek-lam-as
eklezio	ek-le-zio
eklumas	ek-lum-as
êklidaj	êkli-d-aj
ekmalamis	ek-mal-am-is
ekmalĝojis	ek-mal-ĝoj-is
ekmemoru	ek-me-mo-ru
ekologio	eko-lo-gio
ekonomio	eko-no-mio
ekonomioj	eko-no-mi-oj
ekonomion	eko-no-mi-on
ekparoli	ek-pa-roli
ekpaŝas	ek-pa-ŝ-as
ekpensi	ek-pen-si
ekpensis	ek-pen-sis
ekpensos	ek-pen-sos
ekpensu	ek-pen-su
ekpensus	ek-pen-sus
ekposedas	ek-po-se-d-as
ekposedi	ek-po-se-di
ekposedis	ek-po-se-d-is
ekposedo	ek-po-se-do
ekpovu	ek-po-vu
ekpremo	ek-pre-mo
ekrano	ek-ra-no
ekregis	ek-re-g-is
ekridis	ek-ri-d-is
ekridus	ek-ri-d-us
ekrigardi	ek-ri-gar-di
ekrigardis	ek-ri-gar-d-is
eksalti	ek-sal-ti
ekscentra	eks-cen-tra
ekscii	ek-scii
eksciis	ek-sci-is
ekscios	ek-sci-os
eksciti	ek-s-ci-ti
ekscitiĝi	ek-s-ci-t-iĝi
ekscitmaŝino	ek-s-cit-ma-ŝi-no
eksciz	eks-ciz
eksekvis	ek-se-k-v-is
eksentis	ek-sen-t-is
eksĝustiĝi	eks-ĝu-s-t-iĝi
eksidis	ek-si-d-is
eksidu	ek-si-du
eksigata	eks-ig-ata
ekskluzive	eks-klu-zi-ve
ekskui	ek-skui
ekskursi	eks-kur-si
ekskuzi	eks-ku-zi
eksmodaj	eks-mo-d-aj
eksnobelo	eks-no-be-lo
eksnufi	ek-snu-fi
eksonados	ek-so-n-ad-os
ekspedi	eks-pe-di
eksperimento	eks-pe-ri-men-to
eksplicito	eks-pli-ci-to
eksplodi	eks-plo-di
eksplodigi	eks-plo-d-igi
eksplodis	eks-plo-d-is
eksplodkesto	eks-plod-kes-to
ekspluati	eks-plu-a-ti
eksporti	eks-por-ti
ekspozicio	eks-po-zi-cio
ekstaras	ek-sta-r-as
ekstaros	ek-sta-r-os
ekster	eks-ter
ekstera	eks-tera
eksterajn	eks-ter-ajn
eksteran	eks-ter-an
ekstere	eks-tere
eksteren	eks-ter-en
ekstero	eks-tero
eksterordinara	eks-ter-or-di-na-ra
eksteros	eks-ter-os
eksterus	eks-ter-us
ekstra	eks-tra
ekstrema	eks-tre-ma
ekstremo	eks-tre-mo
ekŝpruci	ek-ŝpru-ci
ekŝvelis	ek-ŝve-l-is
ekŝvita	ek-ŝvi-ta
ektimis	ek-ti-m-is
ektimos	ek-ti-m-os
ektremo	ek-tre-mo
ekturnis	ek-tur-n-is
ekvatoro	ek-va-to-ro
ekvidis	ek-vi-d-is
ekvidos	ek-vi-d-os
ekvidus	ek-vi-d-us
ekvilibro	ek-vi-li-bro
ekvolos	ek-vo-l-os
ekzakta	ek-zak-ta
ekzameni	ek-za-me-ni
ekzekuti	ek-ze-ku-ti
ekzemo	ek-ze-mo
ekzemple	ek-zem-ple
ekzemplo	ek-zem-plo
ekzemploj	ek-zem-pl-oj
ekzemplon	ek-zem-pl-on
ekzercadi	ek-zer-c-adi
ekzercaro	ek-zer-c-aro
ekzerci	ek-zer-ci
ekzerciĝadi	ek-zer-c-iĝ-adi
ekzerciĝadon	ek-zer-c-iĝ-ad-on
ekzercoj	ek-zer-c-oj
ekzilo	ek-zi-lo
ekzistado	ek-zi-s-t-ado
ekzistadon	ek-zi-s-t-ad-on
ekzistaĵo	ek-zi-s-t-aĵo
ekzistaĵoj	ek-zi-s-t-aĵ-oj
ekzistanta	ek-zi-s-t-an-ta
ekzistantaj	ek-zi-s-t-an-t-aj
ekzistantan	ek-zi-s-t-an-t-an
ekzistas	ek-zi-s-t-as
ekzisti	ek-zi-s-ti
ekzistis	ek-zi-s-t-is
ekziston	ek-zi-s-t-on
ekzistus	ek-zi-s-t-us
ekzoto	ek-zo-to
elaĉeto	el-aĉe-to
elano	ela-no
elasta	ela-s-ta
elaŭskulti	elaŭ-s-kul-ti
elbakitaj	el-ba-k-it-aj
eldoni	el-do-ni
eldonis	el-do-n-is
eldono	el-do-no
elefanto	ele-fan-to
eleganta	ele-gan-ta
elektantoj	elek-t-an-t-oj
elektas	elek-t-as
elekti	elek-ti
elektis	elek-t-is
elektita	elek-t-ita
elektitaj	elek-t-it-aj
elekto	elek-to
elekton	elek-t-on
elektos	elek-t-os
elektro	elek-tro
elektrofono	elek-tro-fo-no
elektronikaj	elek-tro-ni-k-aj
elektroniko	elek-tro-ni-ko
elektus	elek-t-us
elementa	ele-menta
elementanalizo	ele-ment-ana-li-zo
elemento	ele-mento
elementoj	ele-ment-oj
elfalas	el-fa-l-as
elfali	el-fa-li
elfaritaj	el-fa-r-it-aj
elfknabinoj	elf-kna-bi-n-oj
elfluas	el-flu-as
eligi	eligi
eliminado	eli-mi-n-ado
eliminadon	eli-mi-n-ad-on
elimini	eli-mi-ni
eliminis	eli-mi-n-is
eliminitaj	eli-mi-n-it-aj
elirante	el-ir-an-te
eliras	el-ir-as
eliri	el-iri
eliris	el-ir-is
eliros	el-ir-os
elita	eli-ta
elito	eli-to
elizabeto	eli-za-be-to
eliziita	eli-zi-ita
elĵeti	el-ĵe-ti
elĵetita	el-ĵe-t-ita
elĵetitaj	el-ĵe-t-it-aj
elkreskadas	el-kre-s-k-ad-as
ellaboradi	el-la-bo-r-adi
ellabori	el-la-bo-ri
ellaborita	el-la-bo-r-ita
ellaborota	el-la-bo-ro-ta
ellernadi	el-ler-n-adi
ellernado	el-ler-n-ado
ellernadon	el-ler-n-ad-on
ellernadu	el-ler-n-adu
ellernadus	el-ler-n-ad-us
ellernas	el-ler-n-as
ellernata	el-ler-n-ata
ellerni	el-ler-ni
ellerninte	el-ler-n-in-te
ellernis	el-ler-n-is
ellernita	el-ler-n-ita
ellerno	el-ler-no
ellitiĝis	el-li-t-iĝ-is
elmansanulejiĝos	el-man-sa-n-ul-ej-iĝ-os
elmetas	el-met-as
elmeti	el-meti
elmetita	el-me-t-ita
elmetu	el-metu
elparolado	el-pa-rol-ado
elparoladon	el-pa-rol-ad-on
